0,1,1,1,1,1
1,1,0,1,1,1
2,1,0,0,1,1
3,0,0,0,1,1
4,1,0,0,0,0
5,0,0,0,0,0
6,1,0,0,0,1
7,1,0,0,1,0
8,1,0,1,0,0
9,0.5,0.5,0,0,0
A,0,1,1,1,1
B,1,0,0,0,0
C,0.5,0.5,0.5,0.5,0.5
D,0.5,1,0.5,0.5,0.5
E,0.5,0.5,0.5,0.5,0.5
F,0.5,0.5,0,0,0
G,-,-,-,-,-
H,-,-,-,-,-
I,1,1,1,1,0
J,-,-,-,-,-
K,-,-,-,-,-
L,0,0,1,1,1
M,-,-,-,-,-
N,-,-,-,-,-
O,0.5,0.5,0.5,0.5,0.5
P,-,-,-,-,-
Q,-,-,-,-,-
R,-,-,-,-,-
S,1,1,1,1,1
T,-,-,-,-,-
U,1,0,0,1,1
V,1,0,0,1,1
W,1,0,0,0,1
X,1,0.5,1,1,1
Y,0,1,1,1,0
Z,-,-,-,-,-
